Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Fauna in Australia (Generated 2022-10-09 16:01:48)
Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Present,,NSW,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Dendronephthya australis,Cauliflower Soft Coral,Endangered,Endemic,,NSW,Animalia,Cnidaria,Anthozoa,Alcyonacea,Nephtheidae,
Denisonia maculata,Ornamental Snake,Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Elapidae,
Dromaius baudinianus,Kangaroo Island Emu,Extinct,Extinct,Kangaroo Island,SA,Animalia,Chordata,Aves,Struthioniformes,Dromaiidae,
Dryococelus australis,"Lord Howe Island Phasmid, Land Lobster",Critically Endangered,Endemic,Lord Howe Island,NSW,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,
Egernia roomi,"Kaputar Rock Skink, Mt Kaputar Rock Skink",Critically Endangered,Endemic,,NSW,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Egernia rugosa,Yakka Skink,Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Egernia rugosa,Yakka Skink,Vulnerable,Present,,NSW,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Egernia stokesii badia,"Western Spiny-tailed Skink, Baudin Island Spiny-tailed Skink",Endangered,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Elseya albagula,"Southern Snapping Turtle, White-throated Snapping Turtle",Critically Endangered,Present,,QLD,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Elusor macrurus,"Mary River Turtle, Mary River Tortoise",Endangered,Endemic,,QLD,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Engaewa pseudoreducta,Margaret River Burrowing Crayfish,Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaewa reducta,Dunsborough Burrowing Crayfish,Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaewa walpolea,Walpole Burrowing Crayfish,Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Epthianura crocea macgregori,"Capricorn Yellow Chat, Yellow Chat (Dawson)",Critically Endangered,Endemic,,QLD,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Epthianura crocea tunneyi,"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",Endangered,Endemic,,NT,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Possible,,VIC,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,
Euastacus bindal,"freshwater crayfish, spiny crayfish",Critically Endangered,Present,,QLD,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Euastacus dharawalus,Fitzroy Falls Spiny Crayfish,Critically Endangered,Endemic,,NSW,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Eulamprus leuraensis,Blue Mountains Water Skink,Endangered,Endemic,,NSW,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Eulamprus tympanum marnieae,"Corangamite Water Skink, Dreeite Water Skink",Endangered,Endemic,,VIC,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Galaxias fuscus,Barred Galaxias,Endangered,Endemic,,VIC,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias tantangara,Stocky Galaxias,Critically Endangered,Endemic,,NSW,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias truttaceus (Western Australian population),Western Trout Minnow,Endangered,Endemic,,WA,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxiella nigrostriata,"Blackstriped Dwarf Galaxias, Black-stripe Minnow",Endangered,Endemic,,WA,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Geocrinia alba,"White-bellied Frog, Creek Frog",Critically Endangered,Endemic,,WA,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Geocrinia vitellina,Orange-bellied Frog,Vulnerable,Endemic,,WA,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Geophaps smithii blaauwi,Partridge Pigeon (western),Vulnerable,Endemic,,WA,Animalia,Chordata,Aves,Columbiformes,Columbidae,
Geophaps smithii smithii,Partridge Pigeon (eastern),Vulnerable,Endemic,,NT,Animalia,Chordata,Aves,Columbiformes,Columbidae,
Geophaps smithii smithii,Partridge Pigeon (eastern),Vulnerable,Present,,WA,Animalia,Chordata,Aves,Columbiformes,Columbidae,
Gerygone insularis,"Lord Howe Gerygone, Lord Howe Warbler",Extinct,Extinct,Lord Howe Island,NSW,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,
Gymnobelideus leadbeateri,Leadbeater's Possum,Critically Endangered,Endemic,,VIC,Animalia,Chordata,Mammalia,Diprotodonta,Petauridae,
Hesperocolletes douglasi,"Douglas' Broad-headed Bee, Rottnest Bee",Critically Endangered,Present,,WA,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,
Hipposideros inornatus,Arnhem Leaf-nosed Bat,Endangered,Present,,NT,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,
Hipposideros semoni,"Semon's Leaf-nosed Bat, Greater Wart-nosed Horseshoe-bat",Vulnerable,Endemic,,QLD,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,
Hoplocephalus bungaroides,Broad-headed Snake,Vulnerable,Endemic,,NSW,Animalia,Chordata,Reptilia,Squamata,Elapidae,
Hypotaenidia sylvestris,Lord Howe Woodhen,Endangered,Endemic,,NSW,Animalia,Chordata,Aves,Gruiformes,Rallidae,
Hyridella glenelgensis,Glenelg Freshwater Mussel,Critically Endangered,Present,,VIC,Animalia,Mollusca,Bivalvia,Unionida,Hyriidae,
Idiosoma nigrum,"Shield-backed Trapdoor Spider, Black Rugose Trapdoor Spider",Vulnerable,Endemic,,WA,Animalia,Arthropoda,Arachnida,Araneae,Idiopidae,
Isoodon auratus barrowensis,Golden Bandicoot (Barrow Island),Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
